,,,,
Inf,Rec,División,Juega en,Nombre
Juv,- - -,Primera División española,ESP,Ricardo Alexanko - Español
Juv,- - -,Segunda División española,ESP,Alexis - Español
Juv,- - -,Segunda División Federación Grupo 4 española,ESP,Alexis - Español
,- - -,Segunda División Federación Grupo 3 española,ESP,Alexis García - Español
,- - -,Segunda División Federación Grupo 1 española,ESP,Alejandro Alfaro - Español
Les,- - -,Segunda División Federación Grupo 2 española,ESP,Gonzalo Alfaro - Español
Seg,- - -,Primera División Federación A española,ESP,Alfon - Español
Juv,- - -,Segunda División Federación Grupo 5 española,ESP,Alfonso - Español
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
Seg,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Primera División española,ESP,- -
,- - -,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Segunda División española,ESP,- -
Seg,- - -,Primera División Federación B española,ESP,- -
Ctr,- - -,Segunda División Federación Grupo 4 española,ESP,- -
Juv,- - -,Primera División española,ESP,- -
,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Primera División española,ESP,- -
,- - -,Primera División española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 3 española,ESP,- -
Juv,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Primera División española,ESP,- -
Juv,- - -,Segunda División española,ESP,- -
,- - -,Primera División española,ESP,- -
,- - -,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 3 española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Primera División Federación A española,ESP,- -
,- - -,Segunda División Federación Grupo 5 española,ESP,- -
Juv,- - -,Segunda División Federación Grupo 2 española,ESP,- -
,- - -,Segunda División Federación Grupo 1 española,ESP,- -
,- - -,Primera División Federación B española,ESP,- -
,- - -,Primera División Federación B española,ESP,- -
,- - -,Segunda División española,ESP,- -
,- - -,Segunda División Federación Grupo 4 española,ESP,- -
,- - -,Segunda División española,ESP,- -
Juv,- - -,Primera División española,ESP,- -
