Nombre,Posición,Part,Min,Pas I,Pas C,Pases prog,Pas Cl,Asis,xA,OCG,Reg,Pres Int,Pres C,Distancia,Esprints/90,Ent I,Ent C,Ent Cl,FC,FR,Ama,Roj.,Rob,Desp,Pos Gan/90,Pos Perd/90,Disparos,Disparos fuera área/90,TaP,Gol,Goles fuera del área,xG,Cab Int,Cab,DsR,Rec.1,Cen.In,Cen.Com,Cen I-Ab,Cen C-Ab
player_465,"DF (C), MC, ME (C)",2 (16),355,215,187,10,2,0,"0,26",1,1,28,6,"45,5 km","10,14",6,5,1,4,3,0,0,5,7,"14,7","3,55",5,0,1,0,0,"0,79",17,11,1,3,0,0,0,0
player_466,POR,37,3.330,1.170,1.004,0,0,0,0,0,0,0,0,"222,7 km",0,4,1,0,0,19,0,0,0,-,"4,51","7,43",0,-,-,0,-,0,-,-,-,-,-,-,-,-
player_467,DF (C),3 (9),624,424,394,25,1,0,"0,05",0,0,22,3,"79,0 km","5,19",5,5,1,5,4,0,0,10,10,"18,17","4,04",1,"0,14",0,0,0,0,53,26,5,5,0,0,0,0
player_468,"MC, ME (C)",6 (1),491,285,241,21,5,0,"0,13",1,3,62,10,"71,4 km","13,01",11,9,0,7,2,1,0,12,5,"9,16","7,33",1,0,1,0,0,"0,16",23,17,4,4,4,1,4,1
player_469,"MC, ME (C)",9 (23),1.138,563,495,41,12,2,"2,32",5,11,133,29,"167,5 km","10,52",26,22,0,8,5,1,0,19,7,"8,07","14,87",14,"0,4",8,1,0,"1,01",34,9,0,5,7,1,7,1
player_470,DF (C),0 (1),17,10,8,2,0,0,0,0,0,2,0,"3,6 km",-,0,-,0,0,0,0,0,1,0,-,-,0,-,-,0,0,0,1,0,0,0,0,0,0,0
player_471,DL (C),12 (24),1.495,361,297,10,9,0,"0,38",1,15,109,27,"190,7 km","6,26",29,24,0,14,47,2,0,11,6,"1,26","17,64",76,"1,38",37,9,1,"8,23",162,96,0,1,7,0,7,0
player_472,"MC, ME/MP (C)",25 (6),2.014,1.001,872,86,32,8,"6,13",6,21,259,67,"273,9 km","10,59",57,49,1,21,14,4,0,42,19,"16,27","11,35",32,"0,63",17,2,0,"3,91",64,18,0,7,18,2,18,2
player_473,DF (C),39,3.334,2.319,2.062,141,5,1,"1,02",0,1,112,43,"429,4 km","6,21",62,52,6,45,6,9,2,55,40,"17,52","2,92",17,"0,19",6,1,0,"2,11",304,225,42,17,5,1,5,1
player_474,"MP (C), DL (C)",10 (2),719,190,174,8,6,0,"0,21",0,9,68,6,"98,7 km","7,64",6,5,0,6,20,0,0,10,9,"5,38","14,77",28,"1,25",16,6,1,3,75,13,0,1,26,4,3,1
player_475,DL (C),43 (1),3.798,961,819,22,18,2,"3,66",9,37,278,62,"489,5 km","7,42",57,47,0,58,97,0,0,41,23,"2,23","16,04",154,"1,18",75,21,4,"18,14",427,172,0,7,21,4,21,4
player_476,DF/CR/ME/MP (I),11 (2),995,516,441,66,17,1,"0,97",3,20,120,24,"142,1 km","15,38",31,23,3,12,11,2,0,13,17,"13,84","15,74",3,"0,09",1,1,0,"0,14",50,36,3,9,39,6,21,2
player_477,"DF (DI), CR (I)",1 (12),179,87,73,8,2,0,"0,12",0,2,24,5,"22,7 km","15,59",9,9,0,4,1,0,0,2,1,"7,04","19,11",2,"0,5",0,0,0,"0,16",5,3,2,0,5,0,5,0
player_478,"ME (I), MP (DI)",3 (33),871,303,262,29,17,1,"1,35",2,28,111,30,"120,5 km","12,5",27,23,0,9,13,0,0,18,4,"3,1","17,57",15,"0,52",8,2,1,"1,44",43,15,0,0,68,12,32,6
player_479,DF (C),0 (1),40,26,26,3,0,0,0,0,1,1,0,"5,3 km",-,1,1,0,1,0,1,0,0,0,-,-,0,-,-,0,0,0,4,2,0,0,0,0,0,0
player_480,"CR (D), ME/MP (DI)",37,2.455,904,737,87,33,3,"4,57",4,89,334,91,"348,1 km","14,41",79,66,0,26,39,0,0,62,22,"4,44","16,39",33,"0,29",11,3,0,"3,74",157,52,0,11,84,16,84,16
player_481,"MC, ME/MP (C)",29 (3),2.014,665,565,44,30,6,"4,52",11,29,237,53,"291,8 km","12,87",50,37,3,27,12,4,0,32,9,"11,44","17,12",39,"0,36",16,5,0,"5,3",126,52,0,1,17,2,17,2
player_482,"ME (DIC), MP (C)",4 (14),739,233,199,10,6,3,"3,3",4,7,85,27,"107,0 km","11,81",20,16,0,4,3,2,0,11,6,"8,16","21,07",21,"0,97",7,0,0,"2,42",53,14,0,5,8,1,6,1
player_483,MP (DI),1 (22),756,272,224,25,11,2,"2,43",0,18,107,35,"106,1 km","15,36",32,27,0,10,15,1,0,16,5,"3,69","20,12",18,"0,83",4,3,1,"2,13",42,13,0,3,36,4,36,4
player_484,DF (IC),17 (5),1.450,834,770,64,5,0,"0,59",2,6,78,24,"184,1 km","7,51",30,25,4,14,2,5,0,29,18,"12,85","6,58",2,0,1,0,0,"0,17",122,97,9,6,16,5,16,5
player_485,DF (C),19,1.710,1.168,1.087,70,6,2,"0,3",1,1,62,17,"206,6 km",5,30,23,4,7,6,3,0,35,12,"14,84","3,42",10,"0,05",6,1,0,"1,07",137,89,14,11,2,1,2,1
player_486,"MP (I), DL (C)",5 (20),681,165,141,4,4,0,"0,15",0,3,60,10,"91,8 km","7,53",10,8,0,4,20,0,0,4,2,"0,66","24,45",40,"0,79",23,5,1,"5,46",79,38,0,1,2,0,2,0
player_487,"DF (C), MC",10,874,590,548,25,1,1,"0,24",1,1,27,11,"105,3 km","4,84",17,15,3,10,2,4,0,16,11,"10,61","4,32",4,"0,31",0,0,0,"0,25",70,37,12,5,3,0,3,0
player_488,DF/CR (D),37 (1),3.235,1.559,1.386,171,20,1,"2,53",2,53,328,94,"463,9 km","18,64",125,105,4,44,44,0,1,98,34,"9,1","17,72",15,"0,11",2,1,1,"1,54",188,123,36,25,91,8,91,8
